Nº,Nom,Grau,Metres,Paret,Zona,Data,Enllaç,Ubicació
1,Cresta del Sol,III,300,Serra dels Bastets,Sant Llorenç de Morunys,2007-04,,"42.0911, 1.6067"
2,La que faltava,6a+,100,La Falconera,Sant Llorenç del Munt,2007-05,,"41.6786, 1.9966"
3,Punsola-Reniu,V+/Ae,240,Cavall Bernat,Montserrat,2007-06,http://elprincepdelesmaduixes.blogspot.com/2008/06/mireu-all-dalt.html,"41.6007, 1.8227"
4,Cresta de Peguera,IV+,700,Peguera,Berguedà,2008-06,,"42.1592, 1.7720"
5,Midi Plan,V+,110,Pic Martell,Garraf,2008-07,http://elprincepdelesmaduixes.blogspot.com/2008/07/de-canto-canto.html,"41.255, 1.900"
6,Fronteras del infinito,6a+,120,Pic Martell,Garraf,2008-07,http://elprincepdelesmaduixes.blogspot.com/2008/07/un-dia-llarg.html,"41.255, 1.900"
7,Via del Carles,V+,170,Gorro Frigi,Montserrat,2008-08,http://elprincepdelesmaduixes.blogspot.com/2008/08/per-fi-montserrat.html,"41.5898, 1.8298"
8,Terra de dinosaures,V+,180,Paret Bucòlica,Oliana,2008-09,http://elprincepdelesmaduixes.blogspot.com/2008/09/una-de-dinosaures.html,"42.1379, 1.3092"
9,Punsola-Reniu,V+/Ae,240,Cavall bernat,Montserrat,2008-10,http://elprincepdelesmaduixes.blogspot.com/2008/10/punt-crtic.html,"41.6007, 1.8227"
10,"Copa, cafè i puro",6a,435,Roca Narieda,Oliana,2008-10,http://elprincepdelesmaduixes.blogspot.com/2008/10/semi-desequipat.html,"42.193, 1.305"
11,Retorno Mágico,IV+,120,Pic Martell,Garraf,2009-05,http://elprincepdelesmaduixes.blogspot.com/2009/05/cap-de-setmana-llarg.html,"41.255, 1.900"
12,Olga Frontera,V+,235,Serrat del Poll,Alòs de Balaguer,2009-05,http://elprincepdelesmaduixes.blogspot.com/2009/05/cap-de-setmana-llarg-3.html,"41.913, 0.916"
13,Lapònia,V+,160,Portella Superior,Montserrat,2009-07,http://elprincepdelesmaduixes.blogspot.com/2009/07/agulles.html,"41.595, 1.765"
14,La noia dels ulls blaus,6b+,120,Pic Martell,Garraf,2009-07,http://elprincepdelesmaduixes.blogspot.com/2009/07/grau-amunt.html,"41.255, 1.900"
15,Pique longue,6a,140,La Granota,Montserrat,2009-08,http://elprincepdelesmaduixes.blogspot.com/2009/08/tarda-al-camping.html,"41.5909, 1.8366"
16,Via dels Rodríguez,6a+,100,La Peluda,Montserrat,2009-08,http://elprincepdelesmaduixes.blogspot.com/2009/08/la-llastra.html,"41.593, 1.825"
17,Chiricahua Roc,6b+,190,Serra de Comiols,Comiols,2009-08,http://elprincepdelesmaduixes.blogspot.com/2009/08/els-comiols.html,"42.022, 1.050"
18,Pasaba por aquí,V+,120,Torre de Marfil,Cerler,2009-08,http://elprincepdelesmaduixes.blogspot.com/2009/08/tast-de-gneis-vacancesdia-4.html,"42.5747, 0.5609"
19,Brothers Ruiz,V+,120,Pala Alta,Montroig,2010-04,http://elprincepdelesmaduixes.blogspot.com/2010/04/retorn.html,"41.0983, 0.9336"
20,UES,V+/A0,565,Cinglera dels Esplovins,Oliana,2010-05,http://elprincepdelesmaduixes.blogspot.com/2010/05/ja-era-hora.html,"42.164, 1.316"
21,No te tires que hay cristales,V,105,Torre de marfil,Cerler,2010-08,http://elprincepdelesmaduixes.blogspot.com/2010/08/el-diedre-vacances-dia-4.html,"42.5751, 0.5571"
22,Rue 13 del percebe,6a,170,Ampriu,Cerler,2010-08,http://elprincepdelesmaduixes.blogspot.com/2010/08/adherencia-vacances-dia-6.html,"42.5747, 0.5609"
23,98 Octans,6a,140,Magdalena superior,Montserrat,2010-08,http://elprincepdelesmaduixes.blogspot.com/2010/08/turisme-de-magdalenes.html,"41.5894, 1.8264"
